2026-05-09 22:24:48 - Action: pump_control, State: on, Mode: 
2026-05-09 22:24:48 - Action: pump_control, State: off, Mode: 
2026-05-09 22:24:48 - Action: pump_control, State: on, Mode: 
2026-05-09 22:24:48 - Action: pump_control, State: off, Mode: 
2026-05-09 22:48:47 - Action: set_mode, State: , Mode: manual
2026-05-09 22:49:19 - Action: set_mode, State: , Mode: manual
2026-05-09 23:00:07 - SUCCESS: Set state to on
2026-05-09 23:00:09 - SUCCESS: Set state to on
2026-05-09 23:00:10 - SUCCESS: Set state to on
2026-05-09 23:02:48 - SUCCESS: Set state to on
2026-05-09 23:08:25 - MODE SUCCESS: manual
2026-05-09 23:11:09 - RECV: {"action":"set_mode","mode":"auto","force_off":"1"} | RAW: 
2026-05-10 17:35:45 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 17:36:45 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:38:45 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 17:39:45 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:41:45 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 17:42:45 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:46:06 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 17:46:32 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 17:46:35 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:46:38 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 17:46:43 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:46:49 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 17:46:54 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:46:57 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 17:48:57 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 17:49:57 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:51:00 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 17:51:02 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:51:05 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 17:53:05 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 17:53:42 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 17:53:43 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 17:53:54 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:56:08 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 17:56:21 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 17:58:44 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:01:44 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:01:48 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:02:01 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:06:50 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:07:05 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:07:10 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 18:09:10 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 18:11:02 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 18:11:04 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:11:11 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:14:46 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:14:56 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:15:00 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:15:11 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:19:09 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:19:15 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:19:18 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:19:32 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:19:51 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:19:53 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:19:59 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 18:21:59 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 18:23:00 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:25:00 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 18:27:50 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 18:27:53 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:27:56 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:28:00 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:28:04 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:28:13 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:28:16 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:28:20 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:28:25 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 18:28:27 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 18:28:28 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:28:35 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:28:38 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 18:30:38 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 18:31:38 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:33:38 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 18:34:38 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:36:38 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 18:37:39 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:39:39 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 18:40:39 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:41:12 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 18:41:19 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:41:23 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:41:27 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:41:31 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:41:37 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:42:06 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 18:44:06 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 18:44:19 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 18:44:20 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:44:27 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:44:40 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:46:53 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:47:04 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:47:09 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:47:16 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:52:34 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:52:40 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:52:44 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:52:47 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:52:52 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:52:54 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:52:56 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 18:53:10 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 18:53:12 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:53:27 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 18:53:28 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 18:55:28 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 18:57:28 - RECV: {"action":"auto_pump_on","duration_sec":"60"} | RAW: action=auto_pump_on&duration_sec=60
2026-05-10 18:57:54 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 18:57:56 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:58:07 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:58:17 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 18:58:30 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:58:34 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 18:59:08 - RECV: {"action":"save_auto_schedule","run_min":"1","interval_min":"5"} | RAW: action=save_auto_schedule&run_min=1&interval_min=5
2026-05-10 18:59:24 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 18:59:28 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 18:59:31 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 19:00:53 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 19:00:55 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 19:00:58 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 19:01:03 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 19:01:12 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 19:01:28 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 19:01:36 - RECV: {"action":"save_auto_schedule","run_min":"1","interval_min":"1"} | RAW: action=save_auto_schedule&run_min=1&interval_min=1
2026-05-10 19:04:09 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 19:04:11 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 19:04:15 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 19:04:20 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 19:05:02 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 19:24:43 - RECV: {"action":"save_auto_schedule","run_min":"3","interval_min":"2"} | RAW: action=save_auto_schedule&run_min=3&interval_min=2
2026-05-10 19:28:14 - RECV: {"action":"save_auto_schedule","run_min":"6","interval_min":"2"} | RAW: action=save_auto_schedule&run_min=6&interval_min=2
2026-05-10 19:28:50 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 19:28:53 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 19:29:04 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 19:30:12 - RECV: {"action":"save_auto_schedule","run_min":"1","interval_min":"2"} | RAW: action=save_auto_schedule&run_min=1&interval_min=2
2026-05-10 19:30:21 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 19:30:23 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 19:30:24 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 19:37:48 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 19:37:51 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-10 19:37:57 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-10 19:38:11 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 19:42:31 - RECV: {"action":"save_auto_schedule","run_min":"1","interval_min":"60"} | RAW: action=save_auto_schedule&run_min=1&interval_min=60
2026-05-10 20:42:04 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-10 20:42:24 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-10 20:42:59 - RECV: {"action":"reset_daily_dose"} | RAW: action=reset_daily_dose
2026-05-11 18:39:29 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-11 18:39:31 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-11 18:40:23 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-11 18:42:02 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-11 18:42:16 - RECV: {"action":"save_auto_schedule","run_min":"1","interval_min":"1"} | RAW: action=save_auto_schedule&run_min=1&interval_min=1
2026-05-11 18:42:20 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-11 18:45:04 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-11 18:45:06 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-11 18:45:12 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-11 18:45:17 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-11 18:48:08 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-11 18:48:58 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-11 19:53:30 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-11 19:53:39 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-11 19:53:50 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-11 19:54:04 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-11 19:54:08 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-11 19:57:16 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-11 20:03:06 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-11 20:03:22 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-11 20:20:48 - RECV: {"action":"reset_daily_dose"} | RAW: action=reset_daily_dose
2026-05-12 08:23:50 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 08:23:56 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 08:24:01 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 08:24:18 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 08:24:25 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 08:24:49 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 08:30:06 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 08:30:43 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 08:34:42 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 08:36:27 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 08:41:13 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 08:42:44 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 08:45:20 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 08:45:59 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 08:46:09 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 08:46:11 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 08:46:14 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-12 08:47:10 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 08:47:18 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 09:04:49 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 09:05:08 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 09:09:14 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 09:10:03 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 10:06:24 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 10:08:29 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 10:30:52 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 10:31:04 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 10:31:09 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 10:31:44 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 10:34:53 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 10:35:54 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 10:37:09 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 10:38:03 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 10:39:48 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 10:41:23 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 10:41:58 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 10:46:41 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 11:05:58 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-12 11:06:05 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-12 11:06:08 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 11:08:13 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-12 11:14:19 - RECV: {"action":"save_auto_schedule","run_min":"1","interval_min":"10"} | RAW: action=save_auto_schedule&run_min=1&interval_min=10
2026-05-12 11:25:53 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-12 11:25:55 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 11:29:19 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 11:30:37 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 11:34:57 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 11:36:56 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 11:37:25 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 11:44:41 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-12 11:45:09 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-12 11:45:10 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 11:59:52 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 12:00:29 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 12:17:36 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 12:18:59 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 13:03:06 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 13:03:21 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 13:03:24 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-12 13:03:33 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 13:03:33 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-12 13:03:47 - RECV: {"action":"save_auto_schedule","run_min":"1","interval_min":"1"} | RAW: action=save_auto_schedule&run_min=1&interval_min=1
2026-05-12 13:03:50 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-12 13:08:09 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 13:08:09 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-12 13:11:10 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 13:11:14 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 13:11:19 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 13:11:24 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 13:55:20 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-12 13:55:24 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-12 13:55:35 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-12 13:55:40 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 13:55:40 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-12 14:05:24 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 14:05:31 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 14:10:59 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 14:11:10 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 14:25:44 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-12 14:25:54 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 14:25:54 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-12 14:45:38 - RECV: {"action":"reset_daily_dose"} | RAW: action=reset_daily_dose
2026-05-12 14:45:51 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-12 14:45:53 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-12 14:45:54 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 14:46:43 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 14:46:54 - RECV: [] | RAW: {"action":"emergency_reset"}
2026-05-12 14:47:08 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 15:00:30 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-12 15:01:40 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-12 15:01:42 - RECV: {"action":"pump_control","state":"on"} | RAW: action=pump_control&state=on
2026-05-12 15:01:57 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 15:16:18 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
2026-05-12 15:19:53 - RECV: {"action":"save_auto_schedule","run_min":"10","interval_min":"10"} | RAW: action=save_auto_schedule&run_min=10&interval_min=10
2026-05-12 15:20:01 - RECV: {"action":"set_mode","mode":"manual"} | RAW: action=set_mode&mode=manual
2026-05-12 15:20:03 - RECV: {"action":"pump_control","state":"off"} | RAW: action=pump_control&state=off
2026-05-12 15:20:04 - RECV: {"action":"set_mode","mode":"auto"} | RAW: action=set_mode&mode=auto
